cod_provincia;ap03;sector;ambito;ldesemp;mdesemp;lpuntaje;mpuntaje;NSE_nivel
50;1;1;2;3;4;476,86942;601,33575;2
50;1;1;2;1;1;252,00520;382,55945;1
50;1;1;2;3;3;463,26184;484,58783;2
50;1;1;2;3;3;454,78372;501,76001;2
50;1;1;2;4;4;569,77209;636,23859;2
50;1;1;1;1;1;336,64590;315,23303;1
50;1;1;2;1;3;303,69522;470,86237;3
50;1;1;2;3;3;506,36395;573,13800;2
50;1;1;2;3;3;501,73929;529,53748;2
50;1;1;2;1;3;381,29099;494,64642;2
50;1;1;1;3;2;450,73959;429,60379;2
50;1;1;2;1;1;382,61981;388,42670;3
50;1;1;2;1;3;288,00485;494,23248;2
50;1;1;2;3;3;508,36972;501,32455;2
50;1;1;1;2;1;435,96945;372,42514;2
50;1;1;2;3;4;454,03308;596,57172;2
50;1;1;2;2;2;423,16541;416,92413;2
50;1;1;2;3;3;510,77002;477,48978;2
50;1;1;2;4;4;582,17456;625,69739;2
50;1;1;1;3;1;454,55435;405,10065;1
50;1;1;2;4;4;623,55310;703,10840;2
50;1;1;1;1;1;326,63571;320,35956;1
50;1;1;2;3;2;480,11676;434,85645;2
50;1;1;1;3;3;464,78580;509,19504;2
50;1;1;2;2;3;433,23337;496,78085;2
50;1;1;2;3;1;534,47943;369,03568;1
50;1;1;2;2;3;437,16782;504,95392;2
50;1;1;1;2;2;420,59479;408,70364;2
50;1;1;2;3;3;458,56750;550,31128;2
50;1;1;1;3;1;455,66238;369,53860;1
50;1;1;2;4;2;585,25995;443,47144;2
50;1;1;2;4;4;601,63788;597,94977;2
50;1;1;2;1;3;355,22464;492,58713;2
50;1;1;2;3;3;482,35056;535,96967;2
50;1;1;1;2;1;420,88422;405,57114;2
50;1;1;2;3;2;507,61673;431,17834;1
50;1;1;2;3;4;454,76932;595,66742;2
50;1;1;2;1;3;387,06491;524,64496;2
50;1;1;1;3;2;463,41052;445,39258;2
50;1;1;2;3;2;456,87311;431,18240;2
50;1;1;1;3;3;508,67685;572,16937;2
50;1;1;1;3;2;498,44827;414,26892;2
50;1;1;1;2;3;427,39987;525,72540;2
50;1;1;2;1;3;381,26126;580,57349;1
50;1;1;1;4;4;689,99139;705,41595;2
50;1;1;2;3;2;490,96432;420,31479;2
50;1;1;2;3;3;482,04349;528,38123;2
50;1;1;2;3;3;479,50510;518,53967;2
50;1;1;2;4;4;593,18994;615,16217;2
50;1;1;2;4;3;627,38989;471,11285;3
50;1;1;2;1;1;383,82202;382,17462;1
50;1;1;2;4;3;596,64313;521,09015;2
50;1;1;2;2;2;390,80417;409,25320;2
50;1;1;1;1;1;334,81104;373,66870;1
50;1;1;2;3;4;511,58179;589,54956;2
50;1;1;2;2;3;408,37262;551,52728;2
50;1;1;2;1;1;311,10092;393,35794;2
50;1;1;1;2;4;440,97787;624,41925;2
50;1;1;2;1;1;382,22873;380,88376;1
50;1;1;2;3;4;508,54187;610,03137;2
50;1;1;2;4;4;622,12469;596,24188;2
50;1;1;2;3;2;493,46164;443,52942;2
50;1;1;2;3;4;522,91840;613,99066;2
50;1;1;2;3;3;510,32800;530,12982;2
50;1;1;2;1;3;361,56061;485,55603;2
50;1;1;2;3;1;471,55414;383,57809;2
50;1;1;2;3;4;508,54153;597,00989;2
50;1;1;2;4;3;639,39789;577,02124;2
50;1;1;2;3;3;497,76187;545,44751;2
50;1;1;2;3;3;489,45798;588,43268;3
50;1;1;2;3;3;480,21542;525,18097;2
50;1;1;2;3;3;484,21112;527,86554;
50;1;1;1;3;1;463,26981;315,62692;2
50;1;2;2;4;4;580,59454;604,45282;2
50;1;2;2;1;1;382,93671;344,15201;3
50;1;2;2;3;3;541,26733;525,45148;3
50;1;2;2;4;3;566,88306;510,67572;3
50;1;2;2;4;4;665,04425;646,92401;3
50;1;2;2;3;3;500,42398;479,93643;3
50;1;2;2;3;3;487,19928;505,44293;2
50;1;2;2;3;4;490,23169;718,08246;2
50;1;2;2;1;1;386,10526;297,15356;2
50;1;2;2;2;3;446,15933;484,61697;2
50;1;2;2;2;3;398,72708;473,85046;2
50;1;2;2;3;3;533,86108;507,15747;2
50;1;2;2;4;3;557,17133;553,36139;3
50;1;2;2;4;4;558,09534;605,96710;2
50;1;2;2;3;3;523,00214;587,00665;2
50;1;2;2;3;3;499,32257;496,46564;2
50;1;2;2;4;4;635,24103;660,89764;3
50;1;2;2;4;3;566,71802;558,61707;2
50;1;2;2;2;3;431,30945;559,53149;3
50;2;1;2;2;3;427,41095;531,63757;2
50;2;1;1;4;4;549,53302;618,74133;2
50;2;1;1;1;2;322,29071;413,59903;1
50;2;1;2;3;3;493,67447;478,93356;2
50;2;1;2;1;1;364,65048;363,78400;1
50;2;1;2;3;3;530,40497;543,27216;2
50;2;1;2;4;4;643,54327;704,22504;2
50;2;1;1;3;1;469,94669;278,82321;1
50;2;1;2;3;2;516,34387;429,33911;2
50;2;1;2;4;3;570,51672;486,00330;3
50;2;1;2;1;2;369,74606;438,19257;1
50;2;1;1;2;1;422,06821;304,32401;2
50;2;1;2;3;3;537,63385;580,91119;2
50;2;1;2;2;2;392,07031;451,70615;1
50;2;1;2;3;3;540,58020;499,94891;2
50;2;1;2;3;1;492,01889;342,30521;1
50;2;1;1;1;1;372,81326;356,24564;1
50;2;1;2;4;3;574,11462;499,07864;2
50;2;1;2;4;2;565,87531;455,08859;2
50;2;1;2;3;2;447,75284;433,68872;1
50;2;1;2;2;4;413,86063;616,58331;2
50;2;1;2;3;3;517,28955;506,66620;2
50;2;1;2;1;3;381,87384;543,13812;2
50;2;1;1;2;3;446,11899;480,85623;2
50;2;1;2;3;3;508,89954;507,39590;2
50;2;1;2;3;3;489,26501;541,04333;1
50;2;1;2;4;3;548,66498;488,85889;2
50;2;1;2;1;1;355,21249;394,45731;1
50;2;1;2;1;1;364,48755;395,18307;2
50;2;1;2;3;3;511,43234;506,36472;3
50;2;1;2;4;3;604,75458;491,90265;2
50;2;1;2;2;1;392,12167;371,15054;3
50;2;1;2;1;3;369,32507;520,30878;2
50;2;1;2;3;3;488,55307;533,84991;1
50;2;1;2;1;1;337,35480;394,34760;2
50;2;1;2;3;3;535,03003;509,91559;2
50;2;1;1;4;3;631,62018;549,86212;2
50;2;1;1;1;2;356,50824;415,33142;1
50;2;1;2;2;2;393,56790;427,79214;2
50;2;1;2;4;2;565,38379;455,21866;2
50;2;1;2;4;3;569,29126;518,76416;3
50;2;1;1;2;2;397,20703;464,00491;2
50;2;1;2;1;1;292,93811;385,16702;2
50;2;1;2;3;3;476,48532;513,59204;1
50;2;1;2;3;3;487,21472;578,21405;2
50;2;1;1;2;3;405,58771;473,25357;2
50;2;1;2;1;2;291,33292;417,96155;2
50;2;1;2;3;3;525,00488;520,92969;3
50;2;1;2;3;4;511,02835;720,06104;1
