cod_provincia;ap03;sector;ambito;ldesemp;mdesemp;lpuntaje;mpuntaje;NSE_nivel
18;1;1;2;3;3;486,96771;534,26202;2
18;1;1;2;3;2;500,51102;465,86795;2
18;1;1;2;3;2;491,17352;425,94464;1
18;1;1;2;1;1;356,27347;366,61334;1
18;1;1;2;2;3;427,88574;500,77725;2
18;1;1;2;1;3;343,61087;518,09760;2
18;1;1;2;2;2;391,65051;412,20868;1
18;1;1;2;4;4;688,64966;620,81287;2
18;1;1;2;1;3;258,04764;472,99475;2
18;1;1;2;1;2;350,46158;444,77945;2
18;1;1;2;1;3;336,26407;557,22479;2
18;1;1;2;4;3;590,59723;587,56750;2
18;1;1;2;3;3;534,45013;538,42511;2
18;1;1;2;3;3;460,28226;546,94800;2
18;1;1;2;4;3;646,99609;494,65771;2
18;1;1;2;4;2;619,28674;448,56277;2
18;1;1;1;1;1;355,79449;357,92572;1
18;1;1;2;4;2;634,84741;422,42523;2
18;1;1;2;3;3;514,82526;520,18506;3
18;1;1;2;3;3;498,16492;577,79279;2
18;1;1;2;1;2;300,39691;458,02911;1
18;1;1;2;1;1;318,96991;308,71115;1
18;1;1;2;2;1;444,48138;342,94427;1
18;1;1;2;3;3;448,39847;545,00751;2
18;1;1;2;2;1;435,22958;358,57910;1
18;1;1;2;2;4;429,09070;605,97852;2
18;1;1;2;2;1;390,02911;303,09753;2
18;1;1;2;1;1;350,44125;314,83612;1
18;1;1;2;3;3;526,96173;541,49890;2
18;1;1;2;1;3;345,61795;541,22906;2
18;1;1;2;1;2;266,79449;445,51636;2
18;1;1;2;4;4;586,37567;718,96033;2
18;1;1;1;1;3;374,74454;529,21075;1
18;1;1;1;2;1;397,08377;299,15530;2
18;1;1;2;3;3;512,25122;528,70856;3
18;1;1;2;1;1;311,43582;398,45920;2
18;1;1;1;2;4;432,78162;593,09363;2
18;1;1;1;1;1;365,15710;359,14087;2
18;1;1;2;2;1;403,23557;384,19928;2
18;1;1;2;1;1;353,19739;385,64001;2
18;1;1;2;2;3;400,91748;491,26590;2
18;1;1;1;4;4;616,46625;672,32513;1
18;1;1;2;1;2;276,44223;415,84796;2
18;1;1;1;2;3;441,97626;502,32440;2
18;1;1;2;2;3;437,51019;518,62946;2
18;1;1;2;2;3;442,27750;509,29233;2
18;1;1;2;1;2;302,03452;465,42337;2
18;1;1;2;4;4;657,79651;626,07147;2
18;1;1;2;1;3;378,55203;515,34363;3
18;1;1;2;3;3;479,52963;549,03766;2
18;1;1;1;2;3;417,46240;505,00803;1
18;1;1;1;1;3;378,72272;546,15607;2
18;1;1;2;3;3;462,31744;580,35223;2
18;1;1;2;3;2;517,46167;443,49896;1
18;1;1;1;3;4;539,28070;633,50879;1
18;1;1;2;2;2;404,76828;456,98636;3
18;1;1;2;4;3;560,49268;502,42169;2
18;1;1;2;2;3;423,28168;586,67023;3
18;1;1;2;1;3;342,15872;575,09869;2
18;1;1;2;3;3;531,59448;510,35193;2
18;1;1;2;1;1;325,11658;299,29816;1
