cod_provincia;ap03;sector;ambito;ldesemp;mdesemp;lpuntaje;mpuntaje;NSE_nivel
42;1;1;2;4;3;600,27338;491,08926;2
42;1;1;2;3;3;492,86700;536,60669;3
42;1;1;2;4;3;664,82245;499,23837;3
42;1;1;1;4;3;583,88104;561,00616;2
42;1;1;2;2;2;404,79175;465,61246;2
42;1;1;2;4;4;572,72308;690,07117;2
42;1;1;2;2;1;409,75247;334,54742;1
42;1;1;2;4;3;626,37598;550,92896;2
42;1;1;2;3;2;530,12915;460,53363;3
42;1;1;2;3;3;478,72751;516,76172;2
42;1;1;2;2;1;416,77036;377,28305;1
42;1;1;2;3;3;493,84814;515,51312;3
42;1;1;2;2;3;443,77750;509,73276;3
42;1;1;2;4;3;549,90155;522,12732;2
42;1;1;2;4;3;578,30670;533,22748;2
42;1;1;2;3;3;491,34592;502,74481;2
42;1;1;2;3;4;501,46777;619,82452;2
42;1;1;2;2;3;409,31235;478,97589;2
42;1;1;2;4;4;697,04785;613,02289;2
42;1;1;2;1;2;314,22363;430,09964;3
42;1;1;2;4;3;547,94458;489,74701;2
42;1;1;2;3;2;460,09427;459,77994;2
42;1;1;2;2;4;423,48773;744,49158;3
42;1;1;1;2;3;423,97342;533,05243;2
42;1;1;2;3;3;474,16193;580,15814;2
42;1;1;2;4;3;591,97260;570,19440;2
42;1;1;2;1;2;284,14923;431,61649;2
42;1;1;2;1;3;352,54102;513,53406;2
42;1;1;2;1;2;370,64526;411,07907;2
42;1;1;2;2;2;426,32385;458,10782;2
42;1;1;1;2;1;389,53604;402,17978;2
42;1;1;2;2;3;445,31940;527,45294;3
42;1;1;2;3;3;453,18906;471,76764;2
42;1;1;2;4;3;594,43958;586,48163;3
42;1;1;2;4;3;584,59540;521,98688;3
42;1;1;2;1;1;380,38577;349,47049;2
42;1;1;2;4;4;569,09570;603,59845;2
42;1;1;2;2;1;422,18710;333,53610;2
42;1;1;2;2;1;416,15784;389,58270;2
42;1;1;2;1;2;378,97311;461,55005;2
42;1;1;2;3;3;492,08319;585,31720;1
42;1;1;2;3;3;490,39517;575,42731;2
42;1;1;1;3;3;498,33167;468,19711;3
42;1;1;2;3;3;511,59619;567,49176;2
42;1;1;2;4;3;567,78656;510,48068;2
42;1;1;2;1;1;359,88678;305,83813;2
42;1;1;2;3;2;467,14252;447,22934;2
42;1;1;2;3;1;469,51178;302,18622;1
42;1;1;1;2;1;428,30002;379,02563;3
42;1;1;2;2;3;443,90509;542,62750;2
42;1;1;2;3;2;531,14301;433,92389;2
42;1;1;2;3;3;518,36255;473,21472;2
42;1;1;2;4;4;603,16577;594,94312;3
42;1;1;2;4;4;632,46014;607,54456;3
42;1;1;2;3;3;484,60858;529,80023;3
42;1;1;1;1;1;382,81885;386,37262;1
42;1;1;2;4;3;615,36035;502,97324;3
42;1;1;2;4;4;562,71320;591,94287;2
42;1;1;2;3;3;519,83545;527,44910;2
42;1;1;2;2;3;446,02948;493,33115;2
42;1;1;2;1;1;326,90833;368,84647;2
42;1;1;1;4;4;644,54156;683,24164;3
42;1;1;2;3;3;471,32031;556,17719;2
42;1;1;2;3;3;504,58649;500,17880;3
42;1;1;2;4;3;583,35217;563,84827;2
42;1;1;2;3;2;541,84509;452,34830;3
42;1;1;2;2;3;425,93201;586,42645;2
42;1;1;2;1;3;371,95969;517,96698;2
42;1;1;1;2;3;435,95557;480,65234;2
