cod_provincia;ap03;sector;ambito;ldesemp;mdesemp;lpuntaje;mpuntaje;NSE_nivel
58;1;1;2;4;3;553,26099;558,75818;2
58;1;1;1;3;3;508,05679;525,92133;2
58;1;1;2;3;2;501,94620;445,60419;2
58;1;1;2;2;2;441,27859;407,79074;2
58;1;1;2;1;3;383,88525;568,61151;2
58;1;1;2;4;3;556,29883;471,71576;2
58;1;1;2;4;3;669,22626;559,96838;3
58;1;1;2;2;3;403,14056;509,06729;2
58;1;1;2;2;1;400,72513;398,87689;2
58;1;1;2;4;4;575,66138;673,07306;2
58;1;1;2;2;2;392,34229;444,76498;1
58;1;1;2;3;3;467,06873;546,69482;2
58;1;1;2;1;3;367,80823;499,85843;3
58;1;1;2;3;3;537,63287;582,63190;2
58;1;1;1;4;3;601,97485;489,15536;2
58;1;1;2;3;3;455,78815;583,87225;2
58;1;1;2;3;4;474,81326;598,24249;1
58;1;1;2;3;3;473,37454;483,12970;3
58;1;1;2;4;3;612,17444;570,66583;3
58;1;1;2;1;1;369,38095;356,87451;2
58;1;1;2;1;3;388,40723;522,06207;3
58;1;1;1;1;1;337,11819;371,16318;2
58;1;1;1;3;1;463,74051;385,33676;2
58;1;1;2;3;3;486,65353;562,27545;1
58;1;1;2;4;3;579,78149;569,04297;3
58;1;1;2;3;1;479,15198;396,11697;3
58;1;1;2;2;3;446,01480;504,88370;2
58;1;1;2;2;3;427,38177;479,39087;2
58;1;1;2;3;3;533,60571;467,58862;2
58;1;1;2;3;2;538,76483;427,50555;3
58;1;1;2;4;3;579,35779;573,10620;2
58;1;1;2;3;4;507,73724;643,71820;2
58;1;1;2;2;1;399,51233;367,83633;2
58;1;1;1;1;1;352,57339;361,54315;3
58;1;1;2;3;3;450,94650;558,52710;2
58;1;1;2;1;1;369,74921;380,44962;1
58;1;1;2;3;4;539,40814;661,90253;2
58;1;1;2;3;1;475,36081;347,44821;2
58;1;1;2;2;2;405,82272;406,77527;2
58;1;1;2;4;3;636,95630;585,33862;3
58;1;1;2;1;3;379,14099;467,75394;2
58;1;1;2;4;4;638,21021;637,70667;2
58;1;1;2;4;3;565,18518;574,60944;3
58;1;1;2;2;3;398,87125;511,96722;2
58;1;1;2;1;2;288,94608;451,63873;1
58;1;1;1;3;1;447,73428;377,86752;2
58;1;1;2;1;3;347,81866;504,39743;1
58;1;1;2;3;3;520,00720;530,91846;2
58;1;1;2;4;1;566,45282;376,20258;3
58;1;1;2;2;3;420,16006;578,54938;2
58;1;1;2;1;2;310,71393;435,67429;2
58;1;1;2;1;1;294,56290;365,99417;2
58;1;1;2;1;1;373,26410;369,79910;2
58;1;1;2;2;3;434,80798;518,41479;2
58;1;1;2;4;3;553,03973;513,68823;2
58;1;1;2;3;3;450,73929;489,95801;2
58;1;1;2;3;3;509,22031;544,58685;2
58;1;1;2;3;3;482,61374;492,49097;2
58;1;1;2;1;1;369,71869;359,09686;1
58;1;1;2;4;4;598,99969;696,29254;2
58;1;1;2;4;3;551,07336;530,98682;2
58;1;1;2;3;2;478,02090;450,70300;2
58;1;1;2;2;1;427,18390;387,43640;2
58;1;1;2;1;1;354,06628;370,23813;2
58;1;1;2;1;2;371,44867;456,70535;2
58;1;1;2;3;3;466,74341;536,95374;3
58;1;1;1;2;1;422,60178;375,95383;1
58;1;2;2;2;4;435,05780;647,39771;3
58;1;2;2;4;4;597,37042;594,23553;3
58;1;2;2;2;3;427,79883;488,55188;3
58;1;2;2;1;2;367,61099;428,60132;3
58;1;2;2;4;3;596,57495;526,59802;2
58;1;2;2;3;3;491,92517;569,43225;3
58;1;2;2;4;4;701,17731;686,18213;2
58;1;2;2;3;4;513,60175;693,82312;3
58;1;2;2;4;3;554,36041;508,43069;3
58;1;2;2;2;3;391,63589;486,29453;3
58;1;2;2;4;1;563,80365;332,26038;3
58;1;2;2;4;3;572,81171;501,94360;2
58;1;2;2;4;4;683,78156;732,85114;3
58;1;2;2;3;4;480,15967;603,42554;2
58;1;2;2;4;4;569,99432;632,03241;3
58;1;2;2;4;3;567,74060;514,47687;3
58;1;2;2;4;3;577,53790;513,28442;3
58;1;2;2;3;1;448,34164;285,58682;3
58;1;2;2;1;3;362,67551;514,77399;3
