cod_provincia;ap03;sector;ambito;ldesemp;mdesemp;lpuntaje;mpuntaje;NSE_nivel
62;1;1;2;2;2;413,45499;454,98700;2
62;1;1;2;3;3;530,37354;562,94385;3
62;1;1;2;3;2;527,85406;459,24722;2
62;1;1;2;1;1;353,23203;394,36783;2
62;1;1;2;2;2;411,99094;454,40460;1
62;1;1;2;3;3;494,59537;504,53568;2
62;1;1;2;2;3;403,74124;531,27374;2
62;1;1;2;3;2;483,17084;458,61453;2
62;1;1;2;2;3;431,83698;542,46472;1
62;1;1;1;2;3;441,25848;518,72302;2
62;1;1;2;2;3;401,23755;480,14111;1
62;1;1;2;2;1;444,18939;358,09531;3
62;1;1;2;4;4;630,07471;620,00787;2
62;1;1;2;2;1;402,84949;344,83899;2
62;1;1;2;3;1;527,23291;385,92007;3
62;1;1;2;3;4;493,42596;708,69818;3
62;1;1;2;1;1;321,53897;387,28690;2
62;1;1;2;1;3;361,00745;493,04642;2
62;1;1;2;3;3;544,93237;568,27039;2
62;1;1;1;2;1;414,73203;405,72073;2
62;1;1;2;1;3;375,21268;503,87744;2
62;1;1;2;1;1;333,17624;383,18262;1
62;1;1;2;1;2;374,61282;444,68930;2
62;1;1;2;4;4;645,98413;644,65228;2
62;1;1;2;4;2;550,53461;446,35571;2
62;1;1;2;3;2;473,10309;422,93457;2
62;1;1;2;3;4;532,48999;718,96033;3
62;1;1;2;4;3;561,88800;505,26715;2
62;1;1;2;3;4;532,81238;602,03619;3
62;1;1;2;2;2;425,71335;439,42014;1
62;1;1;2;2;1;421,78864;395,49576;2
62;1;1;1;4;3;632,55255;473,17685;2
62;1;1;2;3;3;541,58893;570,78394;2
62;1;1;2;3;3;452,89496;530,72778;2
62;1;1;2;1;1;364,68655;335,56339;1
62;1;1;2;3;4;530,84271;612,62805;2
62;1;1;2;3;3;540,23651;551,55438;2
62;1;1;2;2;3;432,71643;498,04663;2
62;1;1;2;3;3;455,28894;472,96527;2
62;1;1;2;1;2;384,79230;448,40744;2
62;1;1;2;1;1;374,20789;363,33310;1
62;1;1;2;4;3;573,21112;532,76050;1
62;1;1;2;3;2;492,65820;451,50952;3
62;1;1;2;4;3;579,94348;471,19763;2
62;1;1;2;1;1;352,86774;309,32693;1
62;1;1;2;3;4;542,15649;603,00983;1
62;1;1;2;4;4;557,28967;621,87903;3
62;1;1;1;2;3;428,17706;490,25839;2
62;1;1;2;2;2;426,29895;452,82236;3
62;1;1;2;3;3;508,00729;532,06464;2
62;1;1;2;3;3;533,87262;504,35367;2
62;1;1;2;3;3;483,42639;548,16260;2
62;1;1;1;4;4;566,59973;630,34943;3
62;1;1;2;3;2;500,11313;419,78305;3
62;1;1;2;2;1;402,85605;346,18591;2
62;1;1;2;3;3;509,35834;530,86365;
62;1;1;2;4;4;666,35150;728,92017;2
62;1;1;2;1;2;383,21265;406,04208;1
62;1;1;2;1;1;375,16397;356,72678;1
62;1;1;1;2;4;423,50415;600,02130;3
62;1;1;2;4;3;607,97766;568,22278;3
62;1;1;2;2;1;439,06900;344,77408;2
62;1;1;2;2;2;396,14655;434,76572;1
62;1;1;2;2;3;430,45966;515,69891;2
62;1;1;2;3;4;503,71252;605,64636;2
62;1;1;2;2;2;412,46033;443,93497;1
62;1;1;2;4;3;557,25140;477,00568;2
62;1;1;1;3;3;480,51303;505,07013;2
62;1;1;2;4;3;573,83533;555,02545;2
62;1;1;2;3;1;507,40637;374,35660;
62;1;1;2;4;4;577,47662;664,56213;2
62;1;1;2;3;2;503,66824;458,99631;1
62;1;1;2;3;3;493,55521;570,50665;2
