cod_provincia;ap03;sector;ambito;ldesemp;mdesemp;lpuntaje;mpuntaje;NSE_nivel
66;1;1;2;1;1;389,09201;376,72119;2
66;1;1;2;1;2;378,76581;407,25601;1
66;1;1;2;3;4;500,13351;653,67743;2
66;1;1;2;2;1;416,93030;367,52585;2
66;1;1;2;4;4;559,71710;686,76520;2
66;1;1;1;3;2;489,55267;459,65805;1
66;1;1;2;3;3;449,31073;478,79391;2
66;1;1;2;2;3;425,11789;542,21899;2
66;1;1;2;3;3;524,48474;481,31192;1
66;1;1;2;2;1;414,38184;386,34341;2
66;1;1;2;3;3;455,08472;515,03308;2
66;1;1;2;1;1;329,40369;385,70053;2
66;1;1;2;3;3;497,65793;559,99835;3
66;1;1;2;4;3;633,87921;585,01630;2
66;1;1;2;2;2;423,16876;440,29779;2
66;1;1;2;1;3;348,15671;532,39636;1
66;1;1;1;3;3;469,65076;544,29193;1
66;1;1;2;2;2;402,60956;424,27246;1
66;1;1;2;4;4;616,57129;602,15753;2
66;1;1;2;3;4;492,79434;677,12042;2
66;1;1;2;3;2;452,27234;428,57745;2
66;1;1;2;2;3;396,49051;525,63861;2
66;1;1;2;1;1;343,17712;306,52292;2
66;1;1;2;1;2;351,93311;441,57147;2
66;1;1;2;3;1;510,90369;389,18982;3
66;1;1;2;2;3;436,91675;538,10699;2
66;1;1;2;3;4;529,98785;590,30316;2
66;1;1;2;3;3;474,26868;561,01196;2
66;1;1;2;1;2;285,33456;418,44431;2
66;1;1;2;2;2;431,11856;460,75330;1
66;1;1;2;1;1;342,66034;309,93839;1
66;1;1;1;2;3;445,24570;478,91266;2
66;1;1;2;3;4;493,30521;596,07910;2
66;1;1;2;3;3;542,47845;573,61938;2
66;1;1;2;1;3;369,91174;553,89728;2
66;1;1;2;1;1;381,32571;315,39178;2
66;1;1;2;4;4;607,16180;660,98737;2
66;1;1;2;4;3;563,41046;488,15826;2
66;1;1;2;4;4;579,93646;623,25262;2
66;1;1;2;1;2;372,44565;448,83484;1
66;1;1;2;1;1;314,67163;320,24304;2
66;1;1;2;3;3;529,56030;468,15347;2
66;1;1;2;1;2;283,76645;419,50095;1
66;1;1;2;2;3;389,87717;490,32736;1
66;1;1;2;1;1;343,10477;297,88052;1
66;1;1;1;4;2;562,56989;432,63492;2
66;1;1;2;1;3;367,47205;504,88080;2
66;1;1;2;2;3;396,17636;477,46564;1
66;1;1;2;3;3;510,97458;509,00092;3
66;1;1;2;2;3;418,55963;575,05676;1
66;1;1;2;2;3;410,16089;487,38589;2
66;1;1;2;4;1;644,72522;323,42654;2
66;1;1;2;4;3;607,61346;574,88373;2
66;1;1;2;2;3;420,26920;492,78506;2
66;1;1;2;3;3;493,25015;573,62170;1
66;1;1;2;3;4;511,62573;600,52759;3
66;1;1;2;1;1;365,12753;368,15326;2
66;1;1;2;1;3;377,47266;481,55698;2
66;1;1;2;1;3;374,05249;482,03879;2
66;1;1;2;3;2;487,84250;426,94016;1
66;1;1;2;2;2;429,54089;412,79791;1
66;1;1;2;3;3;526,43549;577,49860;2
66;1;1;2;2;1;407,64697;374,28772;2
66;1;1;2;2;1;443,90015;384,40656;1
66;1;1;2;3;3;525,13904;517,10956;2
66;1;1;2;3;2;462,12061;443,17465;2
66;1;1;1;4;4;665,75128;660,97131;2
66;1;1;2;3;3;533,64063;544,67615;2
66;1;1;2;3;2;501,25623;441,13821;2
66;1;1;2;4;3;629,42352;547,13239;2
66;1;1;2;1;1;361,42581;383,10980;1
66;1;1;2;3;3;507,69089;528,57123;1
66;1;1;2;3;3;494,87122;530,01196;1
66;1;1;1;2;2;434,90768;450,09647;2
66;1;1;1;2;2;440,66226;464,65332;1
66;1;1;2;2;2;442,64554;406,12073;1
66;1;1;2;3;1;482,86325;351,14105;2
66;1;1;2;4;1;567,90930;400,80872;2
66;1;2;2;3;4;543,12549;674,21265;3
66;1;2;2;2;2;407,49396;464,07724;1
66;1;2;2;4;4;582,20251;685,20673;2
66;1;2;2;3;4;502,69409;649,79590;3
66;1;2;2;3;4;521,31012;651,16473;3
66;1;2;2;3;4;515,70862;630,31250;2
66;1;2;2;4;4;568,72498;638,13269;3
66;1;2;2;3;4;544,46631;609,90350;2
66;1;2;2;3;4;514,81555;655,60138;1
66;1;2;2;3;4;458,75659;595,36816;3
66;1;2;2;4;2;616,48419;446,18143;2
66;1;2;2;4;3;601,39594;513,32428;2
66;1;2;2;1;1;352,99213;387,29422;1
66;1;2;2;3;3;509,65753;573,26044;2
66;1;2;2;4;1;565,57159;381,43442;2
66;1;2;2;4;3;605,11536;566,23932;3
66;2;1;2;1;1;358,24759;285,24780;2
66;2;1;2;1;1;327,35541;376,68478;2
66;2;1;1;3;3;474,71655;550,62958;1
66;2;1;2;3;3;491,18863;518,91467;2
66;2;1;2;3;4;507,26474;650,45831;1
66;2;1;2;2;2;409,14703;455,09146;2
66;2;1;2;3;4;484,17798;618,99591;2
66;2;1;2;2;2;445,66910;432,26709;2
66;2;1;2;3;3;500,06030;559,33966;3
66;2;1;2;4;3;676,47040;526,36664;2
66;2;1;2;1;1;270,08978;320,44562;1
66;2;1;1;1;3;287,19778;580,45526;2
66;2;1;2;1;2;373,21350;435,75732;1
66;2;1;2;3;2;505,93799;463,55518;2
66;2;1;2;1;1;377,43643;397,86005;1
66;2;1;2;3;3;531,68036;522,04596;2
66;2;1;2;1;1;353,08752;398,29190;2
66;2;1;2;1;1;355,10037;389,63513;1
66;2;1;1;3;4;540,16901;623,89728;1
66;2;1;2;2;2;409,93326;415,58496;2
66;2;1;2;3;3;494,42896;550,04999;2
66;2;1;1;3;4;539,46863;609,44104;2
66;2;1;2;2;3;435,61246;508,58517;2
66;2;1;2;1;3;320,33359;532,50616;2
66;2;1;2;3;2;495,92734;461,23578;2
66;2;1;1;4;3;634,50616;573,72723;1
66;2;1;2;3;1;453,56683;400,58380;1
66;2;1;2;4;2;583,74414;450,68930;2
66;2;1;2;1;1;384,82159;316,21741;2
66;2;1;2;2;2;392,91226;429,92822;1
66;2;1;2;1;1;350,82175;379,06360;3
66;2;1;2;2;1;441,46829;371,48642;1
66;2;1;2;3;3;489,90891;551,53717;2
66;2;1;2;3;2;529,64362;463,24509;2
66;2;1;2;3;1;478,39355;391,46442;2
66;2;1;2;2;3;421,33240;486,80588;1
66;2;1;2;4;4;580,83441;668,82843;2
66;2;1;1;3;3;464,67267;491,56396;1
66;2;1;2;1;3;286,74243;466,53256;1
66;2;1;2;1;2;321,78894;413,70123;2
66;2;1;2;3;1;449,18130;345,12061;2
66;2;1;2;4;3;564,86774;538,92902;2
66;2;1;2;1;1;378,26630;333,85648;1
66;2;1;2;1;1;340,73331;301,96390;1
66;2;1;2;3;2;462,67508;439,06189;2
66;2;1;2;3;1;460,05240;307,67773;2
66;2;1;1;2;2;442,82492;422,48972;2
66;2;1;2;3;3;521,03577;536,01624;2
66;2;1;2;3;3;529,18146;500,72510;2
66;2;1;2;3;3;482,08432;482,98441;2
66;2;1;2;1;1;367,97491;379,52179;2
66;2;1;2;4;2;590,45624;427,14798;2
66;2;1;1;3;2;481,14883;422,92474;2
66;2;1;2;1;1;366,97510;389,71936;1
66;2;1;2;1;1;217,76900;375,28311;1
66;2;1;2;4;3;631,57745;530,43195;2
66;2;1;2;1;3;347,75873;517,59918;2
66;2;1;2;3;1;450,51099;377,38708;1
66;2;1;2;3;4;529,65625;713,53546;2
66;2;1;2;1;3;351,69730;503,43521;2
66;2;1;2;2;3;434,63333;467,09863;2
66;2;1;2;4;3;603,54608;474,46750;2
66;2;1;2;2;1;391,24905;396,61096;2
66;2;1;2;3;2;464,32773;457,34824;2
66;2;1;2;3;3;483,20004;490,30334;2
66;2;1;1;3;3;525,90924;550,39386;2
66;2;1;2;2;3;412,97415;543,99701;2
66;2;1;1;1;1;323,55417;311,89200;2
66;2;1;2;3;4;511,78793;619,52533;3
66;2;1;2;3;3;456,15005;529,37915;2
66;2;1;2;2;2;423,56979;457,56616;1
66;2;1;2;1;1;284,93777;363,05493;2
66;2;1;2;3;3;466,79343;575,84601;2
66;2;1;2;2;1;397,40768;387,06647;2
66;2;1;2;1;1;374,66495;353,18408;2
66;2;1;2;1;3;386,33032;496,94830;2
66;2;1;2;2;2;411,87592;440,79166;2
66;2;1;1;3;3;453,63858;529,83856;1
66;2;1;2;1;2;386,11969;425,66165;1
66;2;1;2;2;2;423,30331;455,66095;2
66;2;1;2;3;3;531,03296;572,30225;2
66;2;1;1;1;1;344,70593;393,58682;2
66;2;2;2;3;3;541,97845;487,44037;2
66;2;2;2;3;3;505,01794;507,98807;3
66;2;2;2;4;3;606,56226;529,30347;2
66;2;2;2;4;4;619,24701;744,58282;3
66;2;2;2;3;3;498,57660;535,19446;3
66;2;2;2;4;4;652,28748;610,20026;2
66;2;2;2;1;2;346,96350;457,90533;2
66;2;2;2;2;2;434,93997;463,47827;2
66;2;2;2;3;3;499,05548;466,79803;2
66;2;2;2;4;2;567,61340;440,77206;2
66;2;2;2;4;2;598,45221;425,77158;3
66;2;2;2;4;4;648,96436;673,51697;3
66;2;2;2;1;1;387,08072;380,71979;1
66;2;2;2;3;3;477,44449;501,09872;3
66;2;2;2;4;1;582,94562;400,51010;2
66;2;2;2;3;1;537,60529;397,92163;3
66;2;2;2;3;3;510,57736;557,28125;1
66;3;1;2;3;4;499,34268;593,59393;3
66;3;1;2;2;3;411,00650;524,57904;1
66;3;1;2;4;4;661,17639;673,77112;2
66;3;2;2;3;2;510,89117;448,56790;2
66;;1;1;1;1;278,26663;375,34808;
66;;1;2;3;2;483,46976;411,29514;
66;;1;2;1;1;341,76416;396,80179;2
66;;1;1;1;1;357,87527;266,42465;
66;;1;2;1;1;387,61462;254,37360;
66;;1;2;2;3;428,39038;475,86209;1
66;;1;2;2;3;393,06772;531,93164;2
66;;1;2;1;1;369,62872;401,54712;2
66;;1;2;1;2;326,27783;433,88535;1
66;;1;2;2;3;415,97180;473,74005;2
66;;1;2;1;1;304,79169;324,42615;
66;;1;1;1;3;363,70358;550,91742;2
66;;1;1;3;1;471,18491;389,80334;
66;;1;2;1;1;380,56531;375,00259;
66;;1;2;1;1;375,61502;378,11649;2
66;;1;2;3;4;533,72003;616,67041;2
66;;1;1;1;2;318,53870;436,90833;
66;;1;2;1;1;309,02069;348,11307;2
66;;1;2;1;1;313,88620;347,16476;
66;;1;2;4;3;549,09515;552,63892;2
66;;1;2;3;1;491,82471;344,63339;1
66;;1;2;2;1;411,43597;324,09268;2
66;;1;1;3;1;448,64539;350,79547;
66;;2;2;3;2;463,72934;449,95377;
66;;2;2;3;3;499,58289;533,26648;2
