cod_provincia;ap03;sector;ambito;ldesemp;mdesemp;lpuntaje;mpuntaje;NSE_nivel
6;1;1;1;1;2;369,49902;436,13321;2
6;1;1;1;3;3;513,57983;554,94073;2
6;1;1;2;3;2;478,31754;420,33679;2
6;1;1;2;2;2;409,78842;446,80405;2
6;1;1;2;3;2;461,45438;438,40759;2
6;1;1;1;2;4;444,87778;702,26569;2
6;1;1;2;1;3;370,37527;493,68576;2
6;1;1;2;2;1;415,03748;341,83942;2
6;1;1;2;3;3;452,01279;516,80353;
6;1;1;2;2;3;412,23477;523,70300;2
6;1;1;2;2;3;408,98447;509,36597;1
6;1;1;2;1;1;336,49066;316,63495;1
6;1;1;2;4;3;587,52527;558,22583;3
6;1;1;2;2;1;422,75034;326,12103;2
6;1;1;2;4;3;575,50677;566,26880;2
6;1;1;2;4;3;552,37384;485,04395;2
6;1;1;1;2;1;399,36514;307,82874;3
6;1;1;2;1;1;345,87418;304,07626;2
6;1;1;2;2;2;429,82953;455,21976;2
6;1;1;1;3;4;542,93176;654,04291;3
6;1;1;2;4;4;553,66046;650,85480;2
6;1;1;2;1;2;350,01138;424,83398;2
6;1;1;2;1;2;360,89658;435,91370;1
6;1;1;2;1;2;384,35843;441,51727;2
6;1;1;2;3;1;451,89157;360,72092;2
6;1;1;2;3;4;486,20856;690,56256;2
6;1;1;2;3;3;513,80054;496,96298;3
6;1;1;2;1;1;355,83060;385,81506;2
6;1;1;2;2;1;416,19357;372,00986;2
6;1;1;2;3;2;472,67578;455,54959;2
6;1;1;2;2;1;443,75256;291,34756;2
6;1;1;2;2;3;417,86490;568,05060;2
6;1;1;2;4;3;564,73724;478,97818;2
6;1;1;2;1;1;363,09348;353,84747;2
6;1;1;2;1;2;331,77890;429,68890;2
6;1;1;2;3;1;509,96912;389,82443;2
6;1;1;2;1;1;378,76837;383,82111;2
6;1;1;2;2;2;401,68301;428,23917;1
6;1;1;2;1;2;267,47058;464,91022;2
6;1;1;1;4;3;551,81427;480,46497;2
6;1;1;2;4;3;563,25275;517,74963;3
6;1;1;2;4;3;573,30243;567,76355;2
6;1;1;2;3;3;515,75079;522,16028;2
6;1;1;2;3;1;471,61865;359,92926;2
6;1;1;2;1;1;372,25055;362,11783;1
6;1;1;2;2;2;431,07648;408,76636;2
6;1;1;2;3;3;537,52332;493,37167;3
6;1;1;2;3;2;477,30759;413,79208;1
6;1;1;2;1;1;362,98868;372,79166;1
6;1;1;2;2;1;409,86520;316,58606;1
6;1;1;2;3;2;525,68988;434,31052;2
6;1;1;2;1;1;345,76132;401,86182;2
6;1;1;2;3;3;501,11057;482,91354;2
6;1;1;2;1;1;345,06671;391,93015;2
6;1;1;2;2;2;426,02097;422,69971;2
6;1;1;2;3;3;490,19876;529,30914;2
6;1;1;2;1;1;387,61136;342,23834;1
6;1;1;2;4;2;665,98010;442,62271;3
6;1;2;2;3;3;459,90381;562,08752;3
6;1;2;2;1;2;388,24103;451,83026;2
6;1;2;2;1;3;387,84225;560,73694;2
6;1;2;2;4;4;593,60199;728,92017;3
6;1;2;2;3;4;459,59369;600,52490;2
6;1;2;2;4;2;647,93365;426,72501;2
6;1;2;2;4;4;605,84198;646,74579;3
6;1;2;2;3;2;506,76447;447,52747;3
6;1;2;2;4;4;701,17731;643,71606;3
6;1;2;2;3;1;505,60620;396,60379;3
6;1;2;2;4;3;613,07184;538,00903;3
6;1;2;2;3;3;528,29254;524,83624;2
6;1;2;2;4;3;592,40039;556,98907;2
6;1;2;2;4;3;653,32526;485,14410;2
6;1;2;2;3;3;471,06741;566,57495;2
6;1;2;2;3;3;542,72827;498,51422;2
6;1;2;2;2;1;411,50916;343,49213;3
6;1;2;2;4;3;589,76538;492,94473;2
6;1;2;2;3;3;470,25815;560,45642;3
6;1;2;2;4;3;556,58392;555,86688;3
6;1;2;2;3;3;499,98746;506,58722;3
6;1;2;2;3;4;538,26697;654,20996;3
6;1;2;2;4;3;679,91290;547,48645;3
6;1;2;2;3;3;526,48926;561,50873;2
6;1;2;2;3;2;479,42432;453,61893;3
6;1;2;2;3;3;510,21161;542,40381;3
6;1;2;2;3;3;482,39322;527,33685;2
6;1;2;2;4;3;606,71100;543,09650;3
6;1;2;2;4;3;572,00751;540,67035;2
6;1;2;2;3;1;468,46753;375,75916;2
6;1;2;2;4;4;659,23322;593,13470;2
6;1;2;2;3;3;541,92371;539,36169;2
6;1;2;2;2;2;390,14166;447,45538;2
6;1;2;2;4;4;563,37024;632,37732;3
6;1;2;2;2;3;417,64774;557,16620;3
6;1;2;2;2;4;446,32498;638,38159;3
6;2;1;2;3;2;483,21024;457,15479;2
6;2;1;2;3;3;531,96100;588,65747;3
6;2;1;2;1;1;377,96213;328,07043;2
6;2;1;2;2;2;405,44662;424,81964;2
6;2;1;2;3;3;507,87393;484,85083;2
6;2;1;2;3;3;466,92044;506,94760;1
6;2;1;2;2;3;419,38153;469,85046;1
6;2;1;2;1;1;347,92169;389,43640;1
6;2;1;2;2;2;419,03680;431,17743;2
6;2;1;2;3;1;466,79401;387,81830;2
6;2;1;2;4;3;619,60889;512,12494;2
6;2;1;1;2;1;422,27567;300,25458;2
6;2;1;2;3;1;517,47620;349,57272;1
6;2;1;1;3;3;471,00409;506,40918;1
6;2;1;2;1;1;361,73929;400,14142;1
6;2;1;2;2;3;442,84698;473,18900;2
6;2;1;2;2;1;432,20746;402,77261;2
6;2;1;2;1;1;374,83200;405,24854;2
6;2;1;2;3;3;532,89307;569,33093;3
6;2;1;2;4;3;624,62463;570,69641;2
6;2;1;1;3;3;481,69409;483,85931;2
6;2;1;2;2;2;412,28812;411,98950;3
6;2;1;2;2;2;405,80344;430,90955;3
6;2;1;2;3;3;468,54184;496,92545;2
6;2;1;2;3;3;534,82764;481,18655;2
6;2;1;2;2;3;431,79333;567,07751;2
6;2;1;2;4;1;602,36755;396,13620;2
6;2;1;2;3;3;520,70111;558,51886;3
6;2;1;2;4;3;616,26819;576,85754;2
6;2;1;1;3;2;544,41370;454,34525;2
6;2;1;2;2;1;416,51416;339,13956;2
6;2;1;2;3;3;478,00946;506,30801;2
6;2;1;2;3;3;473,30515;527,40863;1
6;2;1;2;4;4;593,43237;666,73932;1
6;2;1;2;2;3;444,77057;506,00302;2
6;2;1;2;2;3;432,02716;509,59888;2
6;2;1;2;2;2;421,44696;446,68951;1
6;2;1;2;3;3;465,79300;589,32220;
6;2;1;2;3;3;542,51935;533,27972;2
6;2;1;2;2;1;415,15137;373,35992;2
6;2;1;2;1;2;319,60452;421,49020;2
6;2;1;2;2;1;411,20322;385,07190;2
6;2;1;2;2;2;423,32022;425,41589;2
6;2;1;2;2;3;424,11871;538,05548;2
6;2;1;2;2;1;395,58368;385,09760;1
6;2;1;2;4;3;549,33942;493,90067;2
6;2;1;2;3;2;524,59442;414,38489;2
6;2;1;2;4;3;593,24182;546,23315;2
6;2;1;2;3;2;518,91162;433,14896;2
6;2;1;2;3;3;456,62601;586,23444;2
6;2;1;2;1;1;378,56766;394,71539;2
6;2;1;2;3;3;518,08215;548,77356;1
6;2;1;2;2;2;397,20645;448,76160;2
6;2;1;2;2;4;395,69812;644,10101;2
6;2;1;2;3;4;528,15997;631,48737;2
6;2;1;2;3;3;505,16617;479,95889;2
6;2;1;2;3;2;530,77167;459,17227;2
6;2;1;2;2;3;444,27759;533,84888;2
6;2;1;2;3;2;477,43158;445,50638;2
6;2;2;2;4;4;575,16766;635,84747;3
6;2;2;2;1;2;353,69324;421,60968;2
6;2;2;2;3;4;494,80176;609,31299;2
6;2;2;2;4;4;602,44214;647,49896;2
6;2;2;2;2;2;389,93771;454,32767;2
6;2;2;2;3;1;457,58771;366,54382;2
6;2;2;2;4;3;595,59113;544,29791;3
6;2;2;2;1;1;362,12915;382,65845;3
6;2;2;2;4;4;603,62750;589,51917;2
6;2;2;2;3;3;528,17792;559,30328;3
6;2;2;2;4;4;634,70331;753,06683;3
6;2;2;2;4;4;640,89404;607,67297;3
6;2;2;2;2;3;442,18716;472,86450;2
6;2;2;2;3;1;507,71820;365,69998;3
6;2;2;2;4;4;655,81885;677,04413;2
6;2;2;2;4;3;613,08844;527,39600;2
6;2;2;2;4;4;552,80286;659,74652;3
6;2;2;2;4;3;573,56427;468,97690;3
6;2;2;2;3;2;519,58661;432,90646;2
6;2;2;2;1;1;290,54071;382,23947;2
6;2;2;2;3;3;508,93738;557,10199;2
6;2;2;2;3;3;487,86981;541,31689;3
6;2;2;2;3;3;480,20972;513,48285;3
6;2;2;2;1;1;297,38657;370,74200;2
6;2;2;2;4;4;646,73224;705,48444;3
6;2;2;2;2;2;436,69241;433,47958;3
6;2;2;2;2;3;441,44965;503,69727;2
6;2;2;2;3;1;517,09698;387,84961;2
6;2;2;2;3;1;477,51376;390,96021;3
6;2;2;2;4;2;558,02063;406,45468;2
6;2;2;2;3;2;525,91962;433,48383;2
6;2;2;2;4;3;675,00702;550,22510;2
6;2;2;2;4;3;692,25244;546,83612;2
6;2;2;2;3;4;487,22354;610,34595;3
6;2;2;2;3;3;484,69183;515,77228;1
6;2;2;2;3;1;467,94711;354,01959;3
6;3;1;2;3;3;485,68604;507,64694;2
6;3;1;2;2;3;438,25607;480,06482;2
6;3;1;2;1;1;354,34143;295,76157;2
6;3;2;2;2;3;413,83630;538,13873;2
6;3;2;2;4;3;664,50262;557,56390;2
6;3;2;2;2;3;426,11658;577,04419;2
6;;1;1;2;1;409,04401;393,90573;1
6;;1;2;2;1;428,69934;354,74783;
6;;1;2;2;2;442,55951;446,37057;2
6;;1;2;1;1;321,89111;386,03763;1
6;;1;2;2;1;439,15033;386,47351;1
6;;1;2;1;1;336,25690;342,05695;1
6;;1;2;2;2;431,51901;410,06406;
6;;1;2;1;1;305,72037;335,62518;
6;;1;2;4;3;554,24408;539,85260;
6;;1;2;1;2;302,05450;441,85376;1
6;;1;2;2;2;411,26251;420,52136;2
6;;1;2;1;1;311,30243;335,44656;2
6;;1;2;2;1;437,30161;383,69437;2
6;;1;2;4;1;585,28210;402,54950;
6;;1;2;2;3;393,06921;507,90070;
6;;1;2;3;2;468,91306;445,37103;
6;;1;2;3;4;529,48163;641,85699;
6;;1;2;1;1;307,96936;369,07272;2
6;;1;2;3;3;450,01569;561,38599;2
6;;1;1;2;2;417,74612;439,13702;2
6;;1;2;1;3;376,83908;537,43060;2
6;;2;2;3;3;539,88446;534,73108;1
6;;2;2;3;2;473,65482;413,91617;2
6;;2;2;1;1;279,11667;288,94504;
6;;2;2;3;3;529,45618;546,28217;3
