cod_provincia;ap03;sector;ambito;ldesemp;mdesemp;lpuntaje;mpuntaje;NSE_nivel
54;1;1;2;2;3;415,02615;521,17957;2
54;1;1;1;1;1;310,70023;369,21350;1
54;1;1;1;2;2;401,31009;434,32294;2
54;1;1;1;4;3;580,11450;582,42358;1
54;1;1;2;2;1;432,36234;395,46475;1
54;1;1;2;3;3;536,31396;496,41965;2
54;1;1;2;3;4;455,49802;638,00946;1
54;1;1;2;2;2;419,82236;439,15350;1
54;1;1;2;1;2;350,62808;447,49545;1
54;1;1;2;4;3;605,03699;493,12979;2
54;1;1;2;2;3;399,95221;558,99768;3
54;1;1;1;3;3;509,93735;514,93030;2
54;1;1;2;1;1;309,78275;371,46408;1
54;1;1;2;1;3;378,47397;571,22522;2
54;1;1;1;3;4;503,38049;630,35101;1
54;1;1;2;1;1;336,53082;384,39206;3
54;1;1;2;2;1;394,10583;329,00854;1
54;1;1;2;4;3;563,01697;582,81793;2
54;1;1;1;4;4;588,18591;655,91669;1
54;1;1;2;2;3;434,16321;467,29004;2
54;1;1;2;4;1;555,18127;378,52579;2
54;1;1;1;4;3;564,79742;564,76129;1
54;1;1;2;2;1;423,11813;326,98502;2
54;1;1;1;1;3;361,15640;494,09662;2
54;1;1;2;4;4;626,44714;764,57391;2
54;1;1;2;2;1;416,78207;390,35486;2
54;1;1;2;2;4;417,74545;616,00061;2
54;1;1;2;3;4;544,79126;597,15479;2
54;1;1;2;1;2;328,45541;465,15631;2
54;1;1;2;1;1;378,92163;388,34097;2
54;1;1;2;2;3;434,45822;517,62823;1
54;1;1;1;3;2;458,08102;451,24918;2
54;1;1;2;3;3;530,88184;547,28485;1
54;1;1;2;2;2;413,67850;429,03671;2
54;1;1;2;4;3;597,33112;525,15173;1
54;1;1;2;2;2;410,47836;455,48096;1
54;1;1;2;3;3;523,19403;551,35596;2
54;1;1;2;3;3;532,57410;468,95691;2
54;1;1;1;2;3;434,77249;517,54810;2
54;1;1;2;4;4;609,92712;641,99609;3
54;1;1;2;4;3;596,62915;589,42932;2
54;1;1;1;1;2;387,83511;454,68292;1
54;1;1;2;1;1;287,22601;399,65579;2
54;1;1;2;2;2;437,55481;444,27042;1
54;1;1;2;3;2;521,37585;451,49313;2
54;1;1;2;1;1;337,24548;299,80667;1
54;1;1;2;4;4;620,92279;599,35144;2
54;1;1;2;2;2;445,59137;406,57324;1
54;1;1;2;1;1;361,62579;398,40833;3
54;1;1;2;2;3;439,68457;481,92453;2
54;1;1;2;1;2;341,13010;428,38828;1
54;1;1;2;2;2;437,95724;453,56009;2
54;1;1;2;2;3;394,53122;507,77063;2
54;1;1;2;4;2;614,35498;428,78644;2
54;1;1;2;1;1;338,58231;381,63123;2
54;1;1;2;1;1;366,99255;343,89044;2
54;1;1;2;4;2;548,71716;427,07785;1
54;1;1;2;1;1;329,31451;299,39618;1
54;1;1;2;1;1;315,16278;311,95367;2
54;1;1;2;2;2;431,00925;428,91263;2
54;1;1;1;1;1;376,36057;350,27539;3
54;1;1;2;4;4;575,78851;648,19495;2
54;1;1;2;1;1;335,69876;349,79175;2
54;1;1;2;2;2;436,03104;407,14926;2
54;1;1;2;2;1;416,60226;395,54742;2
54;1;1;2;2;3;418,70490;467,14255;1
54;1;1;2;2;2;409,29169;449,92059;1
54;1;1;1;1;2;359,16037;447,90536;1
54;1;1;2;1;2;373,19092;408,26166;2
54;1;1;2;3;3;523,65625;550,79584;3
54;1;1;2;1;1;386,49219;321,19266;2
54;1;1;2;2;1;438,50302;354,02542;1
54;1;2;2;4;3;580,62421;555,49207;
54;1;2;2;2;1;423,30179;368,41400;1
54;1;2;2;4;4;556,82318;602,31818;2
54;1;2;2;3;3;521,49005;557,73114;3
54;1;2;2;1;3;365,29962;523,93396;1
54;1;2;2;2;1;435,82297;366,70319;2
54;1;2;2;3;4;499,78113;605,55945;3
54;1;2;2;4;4;666,35150;662,42584;2
54;1;2;1;4;4;635,52185;653,50250;2
54;1;2;1;1;1;360,06033;371,00839;2
54;1;2;2;4;1;576,41150;272,39679;3
54;1;2;2;3;3;498,11783;533,06366;3
54;1;2;2;1;1;336,10364;347,07712;2
54;1;2;2;3;4;536,03668;605,86597;2
54;1;2;1;1;2;353,76663;441,58054;2
54;1;2;2;4;4;634,80280;609,32025;3
54;1;2;2;4;4;605,26538;612,50873;2
54;1;2;2;4;3;591,44568;526,50549;3
54;2;1;2;3;2;458,35950;453,77762;2
54;2;1;1;1;1;369,10947;351,23837;1
54;2;1;1;1;2;324,09000;432,13220;1
54;2;1;2;3;1;505,57367;361,82706;2
54;2;1;2;3;1;466,23953;294,00986;2
54;2;1;1;4;3;564,89587;522,22900;1
54;2;1;2;2;3;424,63223;519,81317;2
54;2;1;2;1;2;347,83627;449,53867;2
54;2;1;2;3;2;454,53592;447,18274;2
54;2;1;2;1;3;345,56204;496,04596;1
54;2;1;2;3;3;483,80045;522,85901;2
54;2;1;1;2;1;396,98587;390,72379;2
54;2;1;2;4;2;558,99542;437,10107;2
54;2;1;2;1;1;327,91708;390,11301;2
54;2;1;2;1;2;294,81372;435,72769;2
54;2;1;1;1;1;325,89185;375,24481;2
54;2;1;2;3;2;486,29013;409,56241;2
54;2;1;2;1;1;288,00626;373,66891;1
54;2;1;2;3;3;451,81644;483,90527;2
54;2;1;2;3;1;522,79156;384,32468;2
54;2;1;2;3;2;466,14685;435,01236;3
54;2;1;2;3;2;498,35910;459,77347;2
54;2;1;2;4;3;551,80945;519,65479;1
54;2;1;1;3;4;484,50006;612,02301;2
54;2;1;2;2;1;424,38248;345,79675;1
54;2;1;2;3;3;522,34741;507,66522;2
54;2;1;2;4;3;580,77527;568,16925;2
54;2;1;2;3;2;534,91296;427,73569;3
54;2;1;2;4;3;607,75793;573,40686;2
54;2;1;1;2;1;438,87012;336,49106;1
54;2;1;2;1;1;326,33264;366,43668;2
54;2;1;1;1;1;357,31403;375,97491;1
54;2;1;1;2;1;445,87424;399,48972;2
54;2;1;2;1;1;361,71646;299,34207;1
54;2;1;2;3;2;452,26846;422,33817;2
54;2;1;2;1;1;376,38028;355,32254;2
54;2;1;1;1;2;341,24612;433,09192;2
54;2;1;2;2;3;416,91180;520,16882;2
54;2;1;2;4;3;620,36279;537,72003;3
54;2;1;2;3;3;468,33142;531,36035;2
54;2;1;2;3;1;489,78098;340,59689;1
54;2;1;1;3;4;546,74908;631,72150;2
54;2;1;1;2;3;419,58899;488,35764;2
54;2;1;2;4;4;598,67096;643,15912;3
54;2;1;1;2;2;426,27652;443,70200;1
54;2;1;2;1;1;271,38864;365,80911;1
54;2;1;1;3;4;545,31183;616,62598;1
54;2;1;2;2;1;439,88333;362,09280;1
54;2;1;2;4;3;593,03973;496,03592;3
54;2;1;2;4;4;703,16425;720,06104;2
54;2;1;2;2;3;398,09949;470,40973;1
54;2;1;1;2;3;444,52475;500,39816;
54;2;1;2;4;3;549,34259;484,62192;2
54;2;1;2;3;2;451,87384;455,09970;2
54;2;1;2;3;4;487,72198;612,61304;1
54;2;1;2;3;3;528,73328;466,61404;1
54;2;1;1;3;4;457,17047;664,67853;2
54;2;1;2;2;1;394,93195;335,75937;1
54;2;1;2;3;2;469,06195;416,68781;2
54;2;1;1;3;2;469,92438;427,31915;2
54;2;1;2;3;2;538,09802;462,02530;1
54;2;1;2;1;3;373,91769;546,35760;2
54;2;1;2;1;2;382,26672;413,53925;2
54;2;1;2;2;3;444,83261;542,13452;2
54;2;1;2;3;4;531,64355;638,39935;2
54;2;1;2;2;1;411,94888;402,90668;2
54;2;1;2;2;2;392,20764;462,24106;2
54;2;1;2;2;1;414,32764;390,90497;2
54;2;1;2;3;1;447,44009;342,32483;2
54;2;1;2;2;3;416,79025;468,21570;2
54;2;1;2;1;1;352,76324;373,88339;1
54;2;1;2;4;2;549,84772;447,45847;3
54;2;1;2;1;2;363,93140;451,97928;2
54;2;1;1;3;3;494,85638;580,54474;3
54;2;1;2;3;3;512,29205;497,37256;2
54;2;1;2;1;1;359,16739;401,63934;1
54;2;1;2;1;1;381,65256;380,36691;1
54;2;1;2;2;2;436,50323;432,77661;3
54;2;1;2;1;1;318,24030;401,02451;2
54;2;2;2;3;1;474,88446;360,42361;2
54;2;2;2;2;2;446,99173;450,93298;2
54;2;2;2;4;3;549,48541;513,10803;2
54;2;2;2;3;2;452,85031;411,47083;2
54;2;2;2;3;3;506,95566;522,85156;2
54;2;2;2;2;3;439,81714;553,85156;2
54;2;2;2;4;2;558,43530;449,01096;2
54;2;2;2;4;3;591,78461;502,77621;3
54;2;2;2;4;3;672,30499;570,18872;2
54;2;2;2;3;2;492,28918;444,07257;1
54;2;2;2;3;3;487,94696;521,79553;2
54;2;2;2;2;3;413,69592;517,89673;2
54;2;2;2;3;3;517,16974;558,04651;3
54;2;2;1;4;3;594,08813;554,67383;2
54;2;2;2;3;3;493,29489;514,31140;2
54;2;2;2;4;2;579,08331;453,11047;2
54;2;2;2;2;2;390,43472;451,59427;2
54;2;2;2;3;4;547,07916;619,28571;2
54;2;2;2;3;2;538,29572;434,07669;2
54;3;1;2;2;2;397,61835;444,01132;2
54;3;1;2;3;4;520,96368;633,20203;2
54;3;2;2;3;3;488,42651;555,56262;2
54;;1;2;1;3;359,90607;491,32391;1
54;;1;2;3;2;494,71432;452,91626;2
54;;1;2;2;2;429,50363;437,24716;
54;;1;2;4;4;591,28613;595,14154;2
54;;1;2;4;4;697,04785;719,35779;
54;;1;2;1;2;379,37689;441,65332;3
54;;1;2;4;4;612,11450;660,11658;
54;;1;2;1;1;337,09143;378,84338;2
54;;1;2;1;2;298,34082;419,49683;
54;;1;1;1;3;349,15894;487,63388;
54;;1;2;1;3;317,79700;487,56189;1
54;;1;1;2;3;413,25681;546,75616;1
54;;1;2;3;2;506,41769;447,88574;
54;;1;2;1;1;317,52090;346,11810;1
54;;1;2;2;3;441,68274;486,66730;
54;;1;2;1;1;382,54175;302,86591;1
54;;1;2;1;2;381,97540;449,45251;
54;;1;2;1;1;341,33771;344,38162;
54;;1;2;3;3;470,74332;499,58142;
54;;1;1;1;4;381,18814;636,90479;
54;;1;2;1;1;285,05548;266,98877;1
54;;1;2;3;2;453,02063;426,32925;2
54;;1;2;2;1;432,53424;349,31561;
54;;1;1;1;3;349,22546;488,75961;
54;;1;2;3;3;477,46451;537,68048;1
54;;1;2;2;2;409,25684;438,18677;1
54;;2;2;4;4;564,41351;664,28027;3
54;;2;2;2;3;419,65814;512,84961;
54;;2;2;3;3;547,31207;482,54251;2
