cod_provincia;ap03;sector;ambito;ldesemp;mdesemp;lpuntaje;mpuntaje;NSE_nivel
22;1;1;2;3;3;486,02356;470,33182;2
22;1;1;2;2;1;418,59451;395,05563;2
22;1;1;2;1;2;333,15024;465,63620;2
22;1;1;2;3;3;479,23221;560,23792;3
22;1;1;2;3;3;535,41504;513,94562;2
22;1;1;1;1;1;352,19736;383,82440;1
22;1;1;2;2;1;414,89032;327,56882;1
22;1;1;2;1;2;362,65714;419,34555;1
22;1;1;2;3;3;454,79379;487,03635;2
22;1;1;2;2;1;397,41663;353,96921;1
22;1;1;2;1;1;344,03275;351,58447;2
22;1;1;1;4;3;575,88782;552,69946;2
22;1;1;2;3;2;467,54578;437,37335;2
22;1;1;2;3;3;532,59491;559,24170;2
22;1;1;2;1;3;316,38464;476,96066;1
22;1;1;2;3;2;500,28931;425,36972;
22;1;1;1;1;3;353,46143;518,51392;2
22;1;1;2;1;1;346,62604;293,79236;1
22;1;1;2;2;3;424,72314;535,55701;2
22;1;1;1;2;3;402,44327;480,82922;1
22;1;1;2;1;1;346,03317;365,42804;2
22;1;1;2;1;1;319,94241;388,17261;1
22;1;1;2;1;2;382,25537;437,32330;2
22;1;1;2;1;1;348,18393;365,62534;2
22;1;1;2;2;3;440,64771;514,59576;2
22;1;1;2;1;1;318,23004;379,67035;2
22;1;1;2;1;1;258,39169;364,67914;2
22;1;1;2;1;1;381,70978;404,38910;2
22;1;1;2;2;1;398,97601;313,14276;1
22;1;1;2;4;2;568,98407;411,07013;2
22;1;1;1;4;3;559,39063;573,30316;1
22;1;1;2;3;2;495,40488;416,70361;2
22;1;1;1;3;3;485,26895;565,30127;1
22;1;1;2;3;3;468,57407;481,99185;2
22;1;1;2;2;1;399,09738;377,79544;2
22;1;1;2;1;2;306,88449;415,94659;2
22;1;1;2;1;1;343,96558;376,96262;1
22;1;1;2;3;2;491,75549;452,07471;3
22;1;1;2;3;2;479,90314;407,64572;2
22;1;1;2;1;2;342,37476;418,62137;2
22;1;1;2;4;3;697,04785;480,68307;2
22;1;1;1;2;2;421,39890;440,57465;2
22;1;1;2;1;1;360,12985;328,73828;2
22;1;1;2;3;3;492,34863;484,64108;3
22;1;1;1;3;3;511,02719;548,50482;2
22;1;1;2;1;2;380,75989;444,56497;3
22;1;1;1;1;1;317,29306;386,88162;1
22;1;1;1;1;1;365,46039;307,87036;1
22;1;1;2;2;1;413,25485;394,99683;1
22;1;1;1;4;3;608,29144;542,03986;2
22;1;1;2;1;1;286,86755;322,08218;2
22;1;1;2;3;1;457,81799;393,67816;1
22;1;1;1;3;4;493,69217;639,78271;2
22;1;1;1;1;1;369,80682;384,35889;1
22;1;1;2;1;1;389,04663;305,84433;1
22;1;1;2;1;1;304,20877;366,88086;2
22;1;1;2;1;1;340,03519;334,44351;2
22;1;1;2;3;1;486,51410;336,65979;2
22;1;1;2;3;1;463,40216;388,74750;1
22;1;1;2;1;2;252,90004;445,54468;2
22;1;1;1;2;1;410,82272;393,25504;1
22;1;1;2;3;3;546,90234;576,84607;3
22;1;1;2;2;1;432,95291;388,64178;2
22;1;1;2;2;1;430,24332;398,58722;2
22;1;1;2;4;1;589,83447;305,50677;2
22;1;2;2;1;1;297,22476;344,87946;2
22;1;2;2;4;4;551,83893;593,76917;3
22;1;2;2;3;4;541,58350;610,22546;3
22;1;2;2;1;1;294,44974;217,44861;2
22;1;2;2;4;4;673,22876;658,41528;3
22;1;2;2;3;3;526,39954;557,54938;2
22;1;2;2;2;4;393,31998;623,41461;2
22;1;2;2;1;1;358,51691;339,98450;2
22;1;2;2;3;3;488,76044;483,47379;2
22;1;2;2;1;1;343,41315;385,42035;2
22;1;2;2;1;2;367,76950;445,71646;1
