cod_provincia;ap03;sector;ambito;ldesemp;mdesemp;lpuntaje;mpuntaje;NSE_nivel
74;1;1;2;3;4;512,13483;634,51495;2
74;1;1;1;4;4;704,94080;702,26569;2
74;1;1;2;1;3;384,74121;520,20685;3
74;1;1;2;3;3;533,26019;552,18427;3
74;1;1;2;3;2;518,77026;439,18954;2
74;1;1;1;2;3;394,40997;558,96887;2
74;1;1;2;2;3;418,88654;542,85333;2
74;1;1;1;4;3;582,76166;555,27209;2
74;1;1;2;3;3;477,94400;572,80756;2
74;1;1;1;1;3;302,74219;544,65979;1
74;1;1;2;3;2;472,43375;448,08344;2
74;1;1;2;1;2;305,36212;443,55493;1
74;1;1;2;4;3;556,93256;547,16888;2
74;1;1;2;3;2;462,73788;457,58829;3
74;1;1;1;4;3;667,62775;527,64978;2
74;1;1;2;3;4;493,24326;626,78998;3
74;1;1;2;1;3;373,14719;493,16150;2
74;1;1;2;2;2;413,94174;426,02789;1
74;1;1;1;1;2;340,68832;432,48819;2
74;1;1;2;4;1;551,86890;377,92694;2
74;1;1;2;4;1;565,75897;309,19974;2
74;1;1;2;4;3;650,88593;578,08667;3
74;1;1;2;1;3;375,51816;480,34125;2
74;1;1;2;3;2;452,87802;406,14224;2
74;1;1;2;3;3;477,66473;527,54694;2
74;1;1;2;3;3;483,99969;518,46716;2
74;1;1;2;2;1;418,01373;404,11356;1
74;1;1;2;2;2;445,13089;410,95657;2
74;1;1;2;2;1;441,40381;395,55258;1
74;1;1;2;3;3;484,51102;510,84119;2
74;1;1;2;1;1;273,80380;378,07138;3
74;1;1;1;2;3;441,88339;488,52499;2
74;1;1;1;3;2;461,52371;461,58215;2
74;1;1;2;4;3;572,84326;541,58765;2
74;1;1;2;1;1;292,79031;281,33295;2
74;1;1;2;4;1;631,71967;296,23465;2
74;1;1;2;1;2;303,16815;448,34845;2
74;1;1;1;3;3;447,21445;471,44510;2
74;1;1;2;3;3;519,75739;547,50629;3
74;1;1;2;1;4;379,54102;627,55585;2
74;1;1;1;3;3;524,89917;468,27945;1
74;1;1;2;1;2;356,82913;434,87891;2
74;1;1;2;1;3;275,20660;558,63916;2
74;1;1;2;3;3;460,70657;474,67084;2
74;1;1;2;1;2;360,51361;418,50101;2
74;1;1;2;3;3;487,82083;490,07703;2
74;1;1;2;2;2;399,95099;430,56924;1
74;1;1;2;1;2;333,96878;436,65427;1
74;1;1;1;2;1;415,67175;376,61111;1
74;1;1;2;3;3;467,95892;511,26837;1
74;1;1;2;3;2;496,92850;416,33905;2
74;1;1;2;4;4;631,73004;686,67798;2
74;1;1;2;1;2;314,29388;406,85861;1
74;1;1;2;3;3;523,69818;535,45355;2
74;1;1;2;1;3;352,92233;491,76755;2
74;1;1;2;3;3;475,84384;566,37018;3
74;1;1;1;3;2;469,07343;463,99310;1
74;1;1;2;4;4;589,70984;645,89594;2
74;1;1;1;1;2;361,39600;451,35287;2
74;1;1;2;2;3;430,76013;491,52371;2
74;1;1;2;4;4;586,45386;630,74548;3
74;1;1;1;1;3;306,17752;468,08752;1
74;1;1;1;2;1;394,18146;316,06873;2
74;1;1;2;2;3;418,60129;498,53601;3
74;1;1;2;1;2;303,83429;409,74707;2
74;1;1;2;3;2;508,91949;417,96063;2
74;1;1;2;1;2;334,94376;454,29413;1
74;1;1;2;3;3;533,26294;558,48334;2
74;1;1;2;2;3;422,12186;519,09253;3
74;1;1;2;4;3;580,87292;580,33704;3
74;1;1;2;3;4;472,17294;615,80933;2
74;1;1;2;1;3;383,94537;491,06180;1
74;1;1;2;2;3;446,72015;520,54919;3
74;1;1;2;4;3;633,74652;479,88324;1
74;1;1;2;2;2;438,90515;438,08215;2
74;1;1;2;4;3;602,23669;490,02289;2
74;1;1;1;1;1;333,10776;372,04254;2
74;1;1;2;2;1;400,25458;372,92343;2
74;1;1;2;3;1;449,73584;364,30951;2
74;1;1;2;1;2;384,17542;423,94504;2
74;1;1;2;1;1;341,48575;315,52081;2
74;1;1;2;2;1;402,18796;385,34869;2
74;1;1;1;2;2;399,52585;434,47714;1
74;1;1;1;4;4;640,44904;614,15240;2
74;1;1;2;4;3;598,92834;541,99939;3
74;1;2;2;1;1;344,72809;354,91870;2
74;1;2;2;3;2;480,79001;434,12045;2
74;1;2;2;3;2;504,91498;455,55203;2
74;1;2;2;3;3;450,09348;540,12408;3
74;1;2;2;3;4;524,22955;636,35767;3
74;1;2;2;1;1;374,10168;361,68570;3
74;1;2;2;4;3;556,31305;538,54095;3
74;1;2;2;3;1;452,84406;346,94138;2
74;1;2;2;3;2;474,75705;432,70425;2
74;1;2;2;3;4;459,02853;614,46246;2
74;1;2;2;4;4;687,43311;744,49158;2
74;1;2;2;4;4;676,83545;658,48224;2
74;2;1;1;3;4;472,78387;646,94073;1
74;2;1;2;4;3;578,76868;479,88055;2
74;2;1;2;3;4;515,03467;630,77728;2
74;2;1;2;3;2;544,89612;460,66858;2
74;2;1;2;2;1;391,99240;379,91531;2
74;2;1;2;4;3;548,76752;476,93930;2
74;2;1;1;4;4;684,94031;695,39417;2
74;2;1;2;1;2;387,45444;458,80423;
74;2;1;1;3;2;455,49658;460,94159;2
74;2;1;2;2;2;436,94467;463,91763;2
74;2;1;2;4;4;618,79895;626,06256;2
74;2;1;2;3;1;488,39978;383,37167;2
74;2;1;2;2;3;392,99976;488,36829;3
74;2;1;2;2;3;401,63354;472,07095;2
74;2;1;2;1;1;270,14001;349,35779;2
74;2;1;2;4;3;586,61359;580,71399;3
74;2;1;2;3;3;504,51096;467,22958;2
74;2;1;2;3;2;508,51102;431,61865;2
